"nm0000136","tt0308644","Sir James Matthew Barrie"
"nm0000136","tt0325980","Jack Sparrow"
"nm0000136","tt0383574","Jack Sparrow"
"nm0000136","tt0408236","Sweeney Todd"
"nm0000136","tt0449088","Jack Sparrow"
"nm0000136","tt1152836","John Dillinger"
"nm0000136","tt1192628","Lars"
"nm0000136","tt1192628","Rango"
"nm0000138","tt0217505","Amsterdam Vallon"
"nm0000138","tt0264464","Frank Abagnale Jr."
"nm0000138","tt0338751","Howard Hughes"
"nm0000138","tt0407887","Billy"
"nm0000138","tt0450259","Danny Archer"
"nm0000138","tt0758774","Roger Ferris"
"nm0000138","tt0959337","Frank Wheeler"
"nm0000138","tt0993846","Jordan Belfort"
"nm0000138","tt1130884","Teddy Daniels"
"nm0000138","tt1343092","Jay Gatsby"
"nm0000138","tt1375666","Cobb"
"nm0000138","tt1663202","Hugh Glass"
"nm0000138","tt1853728","Calvin Candie"
"nm0000138","tt7131622","Rick Dalton"
"nm0000139","tt0126029","Princess Fiona"
"nm0000139","tt0217505","Jenny Everdeane"
"nm0000139","tt0298148","Princess Fiona"
"nm0000139","tt1078588","Sara Fitzgerald"
"nm0000140","tt0181865","Robert Wakefield"
"nm0000140","tt0185014","Grady Tripp"
"nm0000140","tt0478970","Dr. Hank Pym"
"nm0000142","tt0405159","Frankie Dunn"
"nm0000142","tt1205489","Walt Kowalski"
"nm0000142","tt7959026","Earl Stone"
"nm0000144","tt0387564","Dr. Lawrence Gordon"
"nm0000144","tt6543420","Self"
"nm0000146","tt0289765","Francis Dolarhyde"
"nm0000146","tt0312004","Victor Quartermaine"
"nm0000146","tt0387131","Justin Quayle"
"nm0000146","tt0976051","Michael Berg"
"nm0000146","tt2278388","M. Gustave"
"nm0000146","tt4116284","Alfred Pennyworth"
"nm0000146","tt4302938","Moon King"
"nm0000147","tt1315981","George"
"nm0000147","tt1340800","Bill Haydon"
"nm0000147","tt1504320","King George VI"
"nm0000147","tt2802144","Galahad"
"nm0000147","tt2802144","Harry Hart"
"nm0000147","tt8579674","General Erinmore"
"nm0000148","tt0453562","Branch Rickey"
"nm0000148","tt1655441","William Jones"
"nm0000148","tt1856101","Rick Deckard"
"nm0000149","tt0344510","Elodie Gordes"
"nm0000149","tt0454848","Madeleine White"
"nm0000149","tt1692486","Penelope Longstreet"
"nm0000151","tt0342258","Sam"
"nm0000151","tt0405159","Eddie Scrap-Iron Dupris"
"nm0000151","tt0425210","The Boss"
"nm0000151","tt0428803","Narrator"
"nm0000151","tt0452623","Jack Doyle"
"nm0000151","tt0825232","Carter"
"nm0000151","tt1057500","Nelson Mandela"
"nm0000151","tt1245526","Joe Matheson"
"nm0000151","tt1483013","Beech"
"nm0000152","tt0299658","Billy Flynn"
"nm0000152","tt1028532","Parker Wilson"
"nm0000152","tt1478841","Narrator"
"nm0000154","tt0120630","Rocky"
"nm0000154","tt0187393","Benjamin Martin"
"nm0000154","tt0277434","Lt. Col. Hal Moore"
"nm0000154","tt1567609","Driver"
"nm0000157","tt0338434","Elisabeth Vincken"
"nm0000158","tt0162222","Chuck Noland"
"nm0000158","tt0257044","Michael Sullivan"
"nm0000158","tt0264464","Carl Hanratty"
"nm0000158","tt0362227","Viktor Navorski"
"nm0000158","tt0435761","Woody"
"nm0000158","tt0472062","Charlie Wilson"
"nm0000158","tt1371111","Dr. Henry Goose"
"nm0000158","tt1371111","Hotel Manager"
"nm0000158","tt1371111","Isaac Sachs"
"nm0000158","tt1535109","Captain Richard Phillips"
"nm0000158","tt1979376","Woody"
"nm0000158","tt2140373","Walt Disney"
"nm0000158","tt3224458","Fred Rogers"
"nm0000158","tt3263904","Chesley 'Sully' Sullenberger"
"nm0000158","tt3481232","Self - Actor"
"nm0000158","tt3682448","James B. Donovan"
"nm0000158","tt6048922","Captain Krause"
"nm0000158","tt6294822","Ben Bradlee"
"nm0000159","tt0327597","Beldam"
"nm0000159","tt0327597","Mel Jones"
"nm0000159","tt0327597","Other Mother"
"nm0000160","tt0139654","Jake"
"nm0000160","tt0243017","Jesse"
"nm0000160","tt0292963","Hank"
"nm0000160","tt0381681","Jesse"
"nm0000160","tt0399295","Jack Valentine"
"nm0000160","tt1065073","Dad"
"nm0000160","tt2209418","Jesse"
"nm0000160","tt2397535","The Barkeep"
"nm0000161","tt0120679","Frida Kahlo"
"nm0000162","tt0395565","Rowena Lawson"
"nm0000163","tt0313542","Wendell Rohr"
"nm0000163","tt0396171","Giuseppe Baldini"
"nm0000163","tt0420223","Professor Jules Hilbert"
"nm0000163","tt0441773","Shifu"
"nm0000163","tt1302011","Shifu"
"nm0000163","tt2267968","Shifu"
"nm0000163","tt2883512","Riva"
"nm0000163","tt3205394","Mr. Hoppy"
"nm0000164","tt0289765","Dr. Hannibal Lecter"
"nm0000164","tt0412080","Burt Munro"
"nm0000164","tt0488120","Ted Crawford"
"nm0000164","tt0800369","Odin"
"nm0000164","tt8404614","Cardinal Ratzinger"
"nm0000164","tt8404614","Pope Benedict"
"nm0000166","tt0162222","Kelly Frears"
"nm0000166","tt0223897","Arlene McKinney"
"nm0000168","tt0121766","Mace Windu"
"nm0000168","tt0217869","Elijah Price"
"nm0000168","tt0317705","Frozone"
"nm0000168","tt0317705","Lucius Best"
"nm0000168","tt0393162","Coach Ken Carter"
"nm0000168","tt0914863","Henry Harold 'H' Humphries"
"nm0000168","tt1265998","Afro Samurai"
"nm0000168","tt1265998","Ninja Ninja"
